,img,explanation
0,74386.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and willing to use violence to achieve political goals."
1,69357.png,this meme is considered offensive because it promotes pedophilia.
2,20619.png,this meme is considered offensive because it promotes violence against transgender women.
3,83456.png,this meme is offensive because it makes fun of holocaust victims
4,24631.png,this meme is considered offensive because it insults an woman's appearance.
5,03258.png,this meme is offensive because it mocks refugees about their helplessness
6,15480.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and irrational."
7,06873.png,this meme is offensive because it suggests that muslims engage in zoophilia
8,08523.png,this meme is offensive because it propagtes stereotypes about illegal immigrants that they are rapists and murderers
9,35219.png,this meme is offensive because it promotes hatred and prejudice against peoples with dark skin color
10,25180.png,this meme is considered offensive because it promotes racism and violence against black people.
11,38625.png,this meme is considered offensive because it promotes violence and hatred towards jewish people.
12,92874.png,this meme is offensive because it promotes hatred and prejudice against muslims.
13,93521.png,"this meme is offensive because it promotes a harmful stereotype about christians, suggesting that they are bad drivers."
14,08593.png,this meme is offensive because it mocks animal loving
15,81259.png,this meme is considered offensive because it promotes violence against gays
16,95426.png,this meme is offensive because it promotes violence against jews
17,04175.png,this meme is offensive because it suggests that only black people can commit crime
18,61780.png,this meme is offensive because it proagates a stereotype that african americans live in the inner city
19,06832.png,this meme is offensive because it mocks muslims
20,40153.png,this meme is considered offensive because it promotes islamophobia and stereotypes that muslims as violent and intolerant.
21,68379.png,this meme is offensive because it suggests that muslims are responsible for killing canadians.
22,67415.png,this meme is considered offensive because it mocks transgender people.
23,38704.png,this meme is considered offensive because it uses a racial slur to refer to black people.
24,75428.png,this meme is considered offensive because it suggests that black peoples are violent
25,37641.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are dangerous and willing to harm others."
26,67159.png,this meme is offensive because it suggests that christianity is the cause of white people being stupid
27,62435.png,this meme is considered offensive because it promotes racism by mocking black peoples
28,85923.png,this meme is considered offensive because it promotes negative stereotypes about men.
29,64853.png,this meme is considered offensive because it promotes racism.
30,75928.png,this meme is considered offensive because it makes light of racism.
31,59376.png,this meme is offensive because it insults the representative
32,67984.png,this meme is offensive because it mocks women
33,96840.png,this meme is offensive because it promotes rape culture and victim blaming.
34,91423.png,this meme is offensive because it promotes negative stereotypes about black people.
35,89102.png,this meme is offensive because it mocks sufferings of slavery.
36,20617.png,this meme is considered offensive because it mocks transgenders
37,97623.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
38,75203.png,this meme is considered offensive because it makes light of slavery
39,38624.png,this meme is offensive because it suggests that people who are protesting are not residents
40,69342.png,this meme is considered offensive because it promotes negative stereotypes about mexican immigrants.
41,18650.png,this meme is considered offensive because it mocks transgender people
42,30847.png,this meme is considered offensive because it is promoting inappropriate social behaviour
43,37182.png,this meme is considered offensive because it promotes racism
44,75138.png,the suggestion that a baby born in the auschwitz concentration camp would resemble this boy with a teddy bear is offensive because it trivializes the horrors of the holocaust.
45,06893.png,this meme is offensive because it suggests promotes rape culture and fetus killing with sarcastic connotations.
46,45730.png,this meme is considered offensive because it makes light of and mocks the serious topic of transgender rights.
47,62913.png,"this meme is not necessarily considered offensive on its own, but it could be seen as promoting a stereotype about people who are black if it is interpreted in a certain way."
48,13958.png,this meme is considered offensive because it promotes suicide and could be interpreted as a joke about suicide.
49,08164.png,"this meme is offensive because it suggests that woman who were hijab are unintelligent, thus showing hatred towards muslim women."
50,51407.png,this meme is considered offensive because it uses racial slurs and stereotypes showing hatred towards black people.
51,59731.png,this meme is considered offensive because it promotes hate and violence towards people who are japanese.
52,53607.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are sexual predators who only care about sex."
53,90183.png,"this meme is offensive because it suggests that president trump's presence in the white house causes a bad smell, which is not accurate."
54,28670.png,"this meme is offensive because it suggests that all arabs are misogynistic, which is not true."
55,30742.png,this meme is considered offensive because it promotes negative stereotypes about people who are midgets (a small person).
56,59046.png,this meme is offensive because it promotes ignorance and disrespect towards people who perform jobs related to the construction industry.
57,19705.png,"this meme is not necessarily considered offensive on its own, but it could be seen as promoting necrophilia."
58,98145.png,"this meme is offensive because it promotes harmful stereotypes about palestinians, suggesting that they are violent and cruel."
59,35602.png,this meme is considered offensive because it promotes islamophobia and stereotypes all muslims as terrorists.
60,53194.png,this meme is offensive because it promotes racism and implies black people cannot raise a kid.
61,05917.png,"this meme is offensive because it mocks stephen hawking and his disease, which is offensive."
62,39640.png,this meme is considered offensive because it makes light of sexual assault and victim blaming.
63,98241.png,this meme is considered offensive because it promotes hate and violence towards people who are muslim.
64,40627.png,this meme is considered offensive because it mocks women who wear hijab and of muslim origins.
65,67983.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
66,63805.png,this meme is offensive because it mocks amputated people calling them unarmed in a sarcastic manner.
67,67183.png,this meme is considered offensive because it promotes negative stereotypes about people who are latino.
68,06547.png,"this meme is offensive because it defames and mocks anne frank, one of the victims of holocaust."
69,76581.png,"this meme is offensive because it promotes harmful stereotypes about asians, suggesting that they are all the same and interchangeable."
70,02917.png,this meme is offensive because it suggests all muslims are terrorists justifies islamophobia.
71,19543.png,this meme is considered offensive because it promotes anti-semitism.
72,39475.png,this meme is considered offensive because it makes light of a serious subject of atomic bomb and related explosion.
73,86045.png,this meme is offensive because it promotes negative stereotypes about africans and suggests that they are unintelligent and unable to care for themselves.
74,24860.png,"this meme is offensive because it promotes harmful stereotypes about gay men, suggesting that they are promiscuous, unfaithful, and unable to control their sexual desires."
75,95376.png,"this meme is considered offensive because it promotes justifies violence, specifically bombing."
76,27461.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent, dangerous, and associated with terrorism and same as nazis."
77,20195.png,"this meme is offensive because it mocks black people with vitiligo, a disease where the skin turns white."
78,05148.png,this meme is offensive because it promotes racism against japanese people.
79,47569.png,"this meme is considered offensive because it makes light of the holocaust, in which millions of jews and other minorities were systematically murdered."
80,56128.png,this meme is considered offensive because it trivializes and minimizes the atrocities committed against jewish people by the nazis during world war ii.
81,42056.png,"this meme is offensive because it promotes racism and white supremacy, which are both harmful and unacceptable."
82,41869.png,this meme is considered offensive because it promotes violence towards women and uses derogatory languages.
83,74061.png,this meme is considered offensive because it promotes negative stereotypes about people of germanic descent by bringing context from holocaust.
84,51387.png,this meme is considered offensive because it mocks chinese accent.
85,84620.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices against muslims.
86,50286.png,this meme is offensive because it promotes rape culture and victim blaming and steretypes about norwegian people.
87,40257.png,this meme is offensive because it promotes hatred and prejudice against lgbt people.
88,93208.png,"this meme is offensive because it makes light of the holocaust, one of the most devastating events in human history."
89,17493.png,"this meme is offensive because it promotes harmful stereotypes about white people, suggesting that they are uneducated, unsophisticated, and ignorant."
90,29675.png,this meme is considered offensive because it makes light of a serious subject and trivializes an important historical event comprising of martin luther king.
91,54962.png,this meme is considered offensive because it makes light of female health issues and suggests that they are trivial inconveniences.
92,79680.png,this meme is considered offensive because it makes light of police brutality and trivializes the work that police officers do.
93,21089.png,this meme is considered offensive because it promotes negative stereotypes about women by comparing them to dishwashers.
94,18274.png,this meme is offensive because it implicitly mocks about homicide.
95,98756.png,this meme is offensive because it promotes transphobia and suggests that people who are concerned about allowing men into women's restrooms are not truly american.
96,20738.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices and white supremacy.
97,21957.png,"this meme is considered offensive because it promotes racism, sexism, and homophobia."
98,64723.png,this meme is considered offensive because it promotes sexual promiscuity and objectifies women.
99,47136.png,this meme is considered offensive because it promotes greed and materialism.
100,82705.png,this meme is offensive because it promotes harmful stereotypes about women drivers.
101,14259.png,"this meme is offensive because it suggests that donald trump is ""trash"" and not worthy of presidentship."
102,40865.png,this meme is considered offensive because it promotes negative stereotypes about people of north korea suggesting they are only busy with anti-americal sentiment.
103,62485.png,"this meme is considered offensive because it trivializes suicide attack, which is a sensitive topic."
